Project;# Pull Request;FSL;NF;NT;NC;NB;Suggested Lines;Details
[classgraph_classgraph](https://github.com/classgraph/classgraph);;;;;;;;[Link](data/classgraph_classgraph)
;[606](https://github.com/classgraph/classgraph/pull/606);;[x](data/classgraph_classgraph/log-files/classgraph_classgraph_pull606.log);;;;;
[Col-E_Recaf](https://github.com/Col-E/Recaf);;;;;;;;[Link](data/Col-E_Recaf)
;[433](https://github.com/Col-E/Recaf/pull/433);;[x](data/Col-E_Recaf/log-files/Col-E_Recaf_pull433.log);;;;;
[INRIA_spoon](https://github.com/INRIA/spoon);;;;;;;;[Link](data/INRIA_spoon)
;[4318](https://github.com/INRIA/spoon/pull/4318);[x](data/INRIA_spoon/log-files/INRIA_spoon_pull4318.log);;;;;[Link](data/INRIA_spoon/suspicious-lines/4318);
;[4320](https://github.com/INRIA/spoon/pull/4320);[x](data/INRIA_spoon/log-files/INRIA_spoon_pull4320.log);;;;;[Link](data/INRIA_spoon/suspicious-lines/4320);
;[4322](https://github.com/INRIA/spoon/pull/4322);[x](data/INRIA_spoon/log-files/INRIA_spoon_pull4322.log);;;;;[Link](data/INRIA_spoon/suspicious-lines/4322);
;[4341](https://github.com/INRIA/spoon/pull/4341);[x](data/INRIA_spoon/log-files/INRIA_spoon_pull4341.log);;;;;[Link](data/INRIA_spoon/suspicious-lines/4341);
;[4343](https://github.com/INRIA/spoon/pull/4343);[x](data/INRIA_spoon/log-files/INRIA_spoon_pull4343.log);;;;;[Link](data/INRIA_spoon/suspicious-lines/4343);
[TheAlgorithms_Java](https://github.com/TheAlgorithms/Java);;;;;;;;[Link](data/TheAlgorithms_Java)
;[2860](https://github.com/TheAlgorithms/Java/pull/2860);;[x](data/TheAlgorithms_Java/log-files/TheAlgorithms_Java_pull2860-1.log);;;;;
;;;[x](data/TheAlgorithms_Java/log-files/TheAlgorithms_Java_pull2860-2.log);;;;;
;[2867](https://github.com/TheAlgorithms/Java/pull/2867);;;[x](data/TheAlgorithms_Java/log-files/TheAlgorithms_Java_pull2867-1.log);;;;
;;;;[x](data/TheAlgorithms_Java/log-files/TheAlgorithms_Java_pull2867-2.log);;;;
;[2869](https://github.com/TheAlgorithms/Java/pull/2869);;[x](data/TheAlgorithms_Java/log-files/TheAlgorithms_Java_pull2869-1.log);;;;;
;;;[x](data/TheAlgorithms_Java/log-files/TheAlgorithms_Java_pull2869-2.log);;;;;
